Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,Numbers Stations,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
1,UVB-76 The Buzzer Ch1,4.625000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,USB,5.00,,50W,Russian-based military station that frequently broadcasts Monolit format messages in Russian.,,,,
2,UVB-76 The Buzzer Ch2,6.998000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,USB,5.00,,50W,"It is believed that the buzzer is not directly modulated but actually recorded by a active microphone, as there have been reports of hearing background chatter while the buzzer was on.",,,,
3,CIS MFSK-16 XPA Ch1,3.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,USB,1.00,,50W,"CIS MFSK-16, is a 14-tone MFSK signal said to have origin from Russian Intelligence and Foreign Ministry stations.",,,,
4,CIS MFSK-16 XPA Ch2,30.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,USB,1.00,,50W,,,,,
5,CIS MFSK-16 XPB Ch1,4.400000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,USB,1.00,,50W,Enigma designation XPB is a custom 16-tone MFSK mode which is believed to be used by Russian intelligence.,,,,
6,CIS MFSK-16 XPB Ch2,10.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,USB,1.00,,50W,"The signal occupies about 2.8 kHz of bandwidth, but the first tone is about 500 Hz away from the designated transmission frequency, making the total bandwidth about 3.3 kHz.",,,,
7,CIS MFSK-16 XPB Ch3,20.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,USB,5.00,,50W,,,,,
8,CIS MFSK-20 XPA Ch1,3.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,USB,1.00,,50W," CIS MFSK-20, is a 17-tone MFSK signal said to have origin from Russian Intelligence and Foreign Ministry stations.",,,,
9,CIS MFSK-20 XPA Ch2,30.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,USB,5.00,,50W,,,,,
