Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,ArlCo RACES,146.625,,0.6,TSQL,146.2,146.2,23,NN,23,Tone->Tone,FM,5,,50W,RACES,,,,
1,Arl ARC,145.47,split,144.87,TSQL,107.2,107.2,23,NN,23,Tone->Tone,FM,5,,50W,Arlington Amateur Radio Club,,,,
2,Marymount Sec,451.8375,split,456.8375,DTCS,88.5,88.5,606,NN,606,Tone->Tone,NFM,5,,50W,Security/Maintenance,,,,
3,United,130.4,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,United Airlines,,,,
4,AmEg130.95,130.95,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,American Eagle,,,,
5,US Air ice,129.525,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,US Airways - Deice,,,,
6,Delta,131.85,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Delta Airlines - Operations / Maintenance,,,,
7,Southwest,129.075,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Southwest Airlines,,,,
8,Amer 130.1,130.1,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,American - Operations,,,,
9,Air Canada,129.675,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Air Canada,,,,
10,American,129.225,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,American Airlines,,,,
11,Frontier,129.25,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Frontier Airlines,,,,
12,ARINCEnRoute,129.45,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,ARINC En Route Service,,,,
13,JetBlue,130.975,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,JetBlue,,,,
14,Delta second,131.35,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Delta Airlines - Secondary,,,,
15,FedEx,131.925,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Federal Express,,,,
16,Virgin Am,131,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Virgin America,,,,
17,Alaska Airlines,131.15,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Alaska Airlines,,,,
18,DCA Delta,460.825,split,465.825,DTCS,88.5,88.5,115,NN,115,Tone->Tone,NFM,5,,50W,Delta,,,,
19,DCA UAL .725,460.725,split,465.725,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,United,,,,
20,DCA DeltaShu,460.75,split,465.75,DTCS,88.5,88.5,315,NN,315,Tone->Tone,NFM,5,,50W,Delta Shuttle,,,,
21,DCA Alska1/2,461.9625,split,466.9625,TSQL,103.5,103.5,23,NN,23,Tone->Tone,NFM,5,,50W,Alaska Ch. 1/2,,,,
22,DCA UAL .650,460.65,split,465.65,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,United,,,,
23,DCA JetBlue,463.8625,split,468.8625,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,JetBlue,,,,
24,DCA Frontier,460.6875,split,465.6875,DTCS,88.5,88.5,245,NN,245,Tone->Tone,NFM,5,,50W,Frontier,,,,
25,DCA JBlueMnt,451.2875,split,456.2875,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,JetBlue - Maintenance,,,,
26,DCA Southwst,452.8375,split,457.8375,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Southwest,,,,
27,DCA AircrSrv,451.45,split,456.45,DTCS,88.5,88.5,311,NN,311,Tone->Tone,NFM,5,,50W,Aircraft Service International Group,,,,
28,DCA WWFltSrv,469.575,,0.6,DTCS,88.5,88.5,413,NN,413,Tone->Tone,FM,5,,50W,Worldwide Flight Services,,,,
29,DCA Shtl Bus,453.2,split,458.2,TSQL,82.5,82.5,23,NN,23,Tone->Tone,FM,5,,50W,Shuttle Buses,,,,
30,DCA PrkShutl,453.3875,split,458.3875,TSQL,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,Parking Shuttle Buses,,,,
31,DCA Ops?,453.4625,split,458.4625,TSQL,156.7,156.7,23,NN,23,Tone->Tone,FM,5,,50W,Operations?,,,,
32,DCA Taxi7125,453.7125,split,458.7125,TSQL,156.7,156.7,23,NN,23,Tone->Tone,FM,5,,50W,Taxi Dispatcher (obsolete?),,,,
33,DCA Parking?,453.425,split,458.425,TSQL,94.8,94.8,23,NN,23,Tone->Tone,FM,5,,50W,Parking Garages?,,,,
34,DCA Taxi5625,453.5625,split,458.5625,TSQL,156.7,156.7,23,NN,23,Tone->Tone,FM,5,,50W,Taxi Dispatcher,,,,
35,Security,464.4375,split,469.4375,DTCS,88.5,88.5,74,NN,74,Tone->Tone,FM,5,,50W,Security,,,,
36,Fashion Ctr,464.4625,split,469.4625,DTCS,88.5,88.5,413,NN,413,Tone->Tone,FM,5,,50W,Housekeeping,,,,
37,BallstonMall,464.925,split,469.925,TSQL,203.5,203.5,23,NN,23,Tone->Tone,FM,5,,50W,Housekeeping/Administration,,,,
38,BallstonMall,461.8875,split,466.8875,TSQL,203.5,203.5,23,NN,23,Tone->Tone,FM,5,,50W,Security,,,,
39,Security,464.925,split,469.925,DTCS,88.5,88.5,612,NN,612,Tone->Tone,FM,5,,50W,Security,,,,
40,PntCtrCostco,154.49,,0.6,TSQL,67,67,23,NN,23,Tone->Tone,NFM,5,,50W,Costco,,,,
