Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,ACFD 1O T/A,852.012500,,0.600000,TSQL,156.7,156.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire/EMS 1O Talkaround,,,,
1,ACFD 1N Metro,856.487500,split,811.487500,TSQL,156.7,156.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire/EMS 1N Metrorail Tunnels,,,,
2,ArmyHeliport,143.100000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Army Heliport,,,,
3,ArlNatlCemet,165.187500,split,163.425000,TSQL,156.7,156.7,023,NN,023,Tone->Tone,FM,5.00,,50W,Operations,,,,
4,DEA/TSA Sec,168.425000,split,170.100000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Drug Enforcement Administration/Transportation Security Administration Headquarters (Pentagon City) - Security,,,,
5,DCA Twr VHF,119.100000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Tower,,,,
6,DCA Twr UHF,257.600000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Tower/Ground,,,,
7,DCA Twr Helo,134.350000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Tower (Helicopters),,,,
8,DCA Ground,121.700000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Ground,,,,
9,DCA ATIS,132.650000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Automatic Terminal Information Service (ATIS),,,,
10,DCA Clearanc,128.250000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Clearance Delivery,,,,
11,AmEg129.75,129.750000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,"American Eagle (Mesa, Piedmont, PSA [""Blue Streak""])",,,,
12,Approach/Dep,124.200000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,"Class B Approach/Departure - East (""ENSUE"")",,,,
13,Class B App,119.850000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,"Class B Approach/Departure - West (""OJAAY"")",,,,
14,ApproachEast,118.300000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Final Approach - East,,,,
15,Final AppWes,124.700000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Final Approach - West,,,,
16,Approach/Dep,269.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,"Class B Approach/Departure - East (""ENSUE"")",,,,
17,OJAAY 322.3,322.300000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,"Class B Approach/Departure - West (""OJAAY"")",,,,
18,Approach W,338.200000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Final Approach - West,,,,
19,Approach - E,306.300000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Final Approach - East,,,,
20,AndrewsRadar,124.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Andrews AFB Radar for Arlington Fly-bys,,,,
