Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,CIA SPS,162.062500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,P25,5.00,,50W,Security Protective Service,,,,
1,Wolf Trap,417.975000,split,411.775000,,88.5,88.5,023,NN,023,Tone->Tone,P25,5.00,,50W,Park Rangers,,,,
2,GMU Security 3,855.712500,split,810.712500,TSQL,107.2,107.2,023,NN,023,Tone->Tone,NFM,5.00,,50W,Security (Ch. 3) (47F on county TRS),,,,
3,GMU PD 1,855.487500,split,810.487500,TSQL,107.2,107.2,023,NN,023,Tone->Tone,NFM,5.00,,50W,Police (Ch. 1) (47E on county TRS),,,,
4,GMUPatriotCt,463.925000,,0.600000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Patriot Center Operations,,,,
5,GMU Dorms 1,453.000000,split,458.000000,DTCS,88.5,88.5,132,NN,132,Tone->Tone,FM,5.00,,50W,Dorm Operations,,,,
6,GMU Dorms 2,462.225000,split,467.225000,DTCS,88.5,88.5,132,NN,132,Tone->Tone,FM,5.00,,50W,Dorm Operations,,,,
7,GMU Dorms 3,467.850000,,0.600000,DTCS,88.5,88.5,132,NN,132,Tone->Tone,FM,5.00,,50W,Dorm Operations,,,,
8,GMU Dorms 4,469.562500,,0.600000,DTCS,88.5,88.5,132,NN,132,Tone->Tone,FM,5.00,,50W,Dorm Operations,,,,
9,NVCC-Ann Mnt,857.487500,split,812.487500,TSQL,192.8,192.8,023,NN,023,Tone->Tone,FM,5.00,,50W,Buildings/Grounds,,,,
10,NVCC PD,773.406250,split,803.406250,,88.5,88.5,023,NN,023,Tone->Tone,P25,5.00,,50W,Police (simulcast among all NVCC campuses),,,,
11,MVRC ARES,146.655000,,0.600000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,50W,"Mount Vernon Radio Club, ARES/RACES",,,,
12,Alex RC ARES,147.315000,,0.600000,TSQL,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,50W,"Alexandria Radio Club, ARES/RACES",,,,
13,K4HTA,146.685000,split,146.085000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,FM,5.00,,50W,Vienna Wireless Society (Tysons),,,,
14,K4XY,448.375000,split,443.375000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Vienna Wireless Society,,,,
15,NVFMA Tysons,447.025000,split,442.025000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Northern Virginia FM Association (NVFMA) - Tysons Corner,,,,
16,NVFMA Ffx,224.100000,split,222.600000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Northern Virginia FM Association (NVFMA) - Fairfax,,,,
17,FairOaks Sec,464.125000,split,469.125000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Security/Engineering,,,,
18,FairOaks H/K,464.475000,split,469.475000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Housekeeping,,,,
19,JCP FairOaks,461.937500,,0.600000,DTCS,88.5,88.5,732,NN,732,Tone->Tone,NFM,5.00,,50W,JC Penney,,,,
20,GapFO151.805,151.805000,,0.600000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,5.00,,50W,Gap,,,,
21,GapFO154.515,154.515000,,0.600000,DTCS,88.5,88.5,172,NN,172,Tone->Tone,NFM,5.00,,50W,Gap,,,,
22,GapFO 154.6,154.600000,,0.600000,DTCS,88.5,88.5,624,NN,624,Tone->Tone,NFM,5.00,,50W,Gap,,,,
23,BR FO 151.83,151.835000,,0.600000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,5.00,,50W,Banana Republic - Primary,,,,
24,BR FO 158.4,158.400000,,0.600000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,5.00,,50W,Banana Republic,,,,
25,Tysons Sec,461.987500,split,466.987500,DTCS,88.5,88.5,054,NN,054,Tone->Tone,FM,5.00,,50W,Security,,,,
26,NordstromScr,463.837500,split,468.837500,TSQL,146.2,146.2,023,NN,023,Tone->Tone,FM,5.00,,50W,Nordstrom Security,,,,
27,ON FL151.955,151.955000,,0.600000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,FM,5.00,,50W,Old Navy,,,,
28,BB FL 467.85,467.850000,,0.600000,DTCS,88.5,88.5,506,NN,506,Tone->Tone,NFM,5.00,,50W,Best Buy,,,,
29,BB FL 467.9,467.900000,,0.600000,DTCS,88.5,88.5,506,NN,506,Tone->Tone,NFM,5.00,,50W,Best Buy,,,,
30,BB FL 467.92,467.925000,,0.600000,DTCS,88.5,88.5,506,NN,506,Tone->Tone,NFM,5.00,,50W,Best Buy,,,,
31,BJsFL 464.55,464.550000,,0.600000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,5.00,,50W,BJ's Wholesale - Secondary,,,,
32,BJs FL Pri,467.925000,,0.600000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,BJ's Wholesale - Primary,,,,
33,DSW FL467.76,467.762500,,0.600000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,DSW Shoe Warehouse,,,,
34,DSW FL467.81,467.812500,,0.600000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,DSW Shoe Warehouse,,,,
35,ON FL151.62,151.625000,,0.600000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,5.00,,50W,Old Navy,,,,
36,ON FL154.54,154.540000,,0.600000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,5.00,,50W,Old Navy,,,,
37,Costco154.6,154.600000,,0.600000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,Costco (Costco Plaza),,,,
38,MerrGarden 1,461.937500,,0.600000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,FM,5.00,,50W,Merrifield Garden Center 1 (Merrifield/Fairfax locations),,,,
39,MerrGarden 2,463.362500,,0.600000,DTCS,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Merrifield Garden Center 2 (Merrifield/Fairfax locations),,,,
40,MerrGarden 3,464.275000,,0.600000,DTCS,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Merrifield Garden Center 3 (Merrifield/Fairfax locations),,,,
41,MerrGarden 4,464.000000,,0.600000,DTCS,88.5,88.5,627,NN,627,Tone->Tone,FM,5.00,,50W,Merrifield Garden Center 4 (Merrifield/Fairfax locations),,,,
42,SuperH .49,154.490000,,0.600000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,Super H Mart,,,,
43,SuperH .57,154.570000,,0.600000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,Super H Mart,,,,
44,Costco154.57,154.570000,,0.600000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,Costco (Costco Plaza),,,,
45,Costco468.21,468.212500,,0.600000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,Costco (Chantilly),,,,
46,Costco468.31,468.312500,,0.600000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,Costco (Chantilly),,,,
47,HmeDepCstPlz,467.612500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Home Depot - Cashiers (Costco Plaza),,,,
48,RestonTwnCnt,461.850000,split,466.850000,DTCS,88.5,88.5,243,NN,243,Tone->Tone,FM,5.00,,50W,Maintenance,,,,
49,RTC Sec,464.737500,split,469.737500,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Security,,,,
50,SprTwnCtrSec,464.912500,split,469.912500,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Security,,,,
51,Reston Hospital,462.300000,split,467.300000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Maintenance/Engineering,,,,
52,MCI Communic,461.550000,split,466.550000,TSQL,114.8,114.8,023,NN,023,Tone->Tone,FM,5.00,,50W,MCI Communications,,,,
53,Pohick Bay Golf Course 1,452.662500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Pohick Bay Golf Course - Operations,,,,
54,Pohick Bay Golf Course 2,457.662500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Pohick Bay Golf Course - Operations,,,,
55,UPS Newingtn,452.512500,,0.600000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,50W,United Parcel Service - Newington Hub,,,,
56,Redman Fleet,461.325000,split,466.325000,TSQL,85.4,85.4,023,NN,023,Tone->Tone,NFM,5.00,,50W,Redman Fleet Services,,,,
57,HandSPlmbHtg,30.920000,,0.600000,DTCS,88.5,88.5,072,NN,072,Tone->Tone,FM,5.00,,50W,H and S Plumbing and Heating,,,,
58,ImmanuelChur,464.450000,split,469.450000,TSQL,107.2,107.2,023,NN,023,Tone->Tone,NFM,5.00,,50W,Immanuel Bible Church,,,,
59,HenrysWrcker,461.825000,split,466.825000,TSQL,114.8,114.8,023,NN,023,Tone->Tone,NFM,5.00,,50W,Henry's Wrecker Service,,,,
60,Covanta Fairfax,461.350000,split,466.350000,DTCS,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Covanta Fairfax,,,,
61,TheStJames Ops,463.362500,split,468.362500,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,The St. James - Ops,,,,
62,TheStJames H/K,463.362500,split,468.362500,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,The St. James - Housekeeping,,,,
63,Roer's Zoofari,462.587500,,0.600000,TSQL,118.8,118.8,023,NN,023,Tone->Tone,NFM,5.00,,50W,Roer's Zoofari,,,,
64,HyatFairLake,461.725000,split,466.725000,TSQL,94.8,94.8,023,NN,023,Tone->Tone,NFM,5.00,,50W,Housekeeping/Other Users?,,,,
65,HiltonDulles,464.325000,split,469.325000,DTCS,88.5,88.5,251,NN,251,Tone->Tone,NFM,5.00,,50W,Operations,,,,
66,HyattReg Tysons,461.437500,split,466.437500,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Hyatt Regency Tysons Corner,,,,
67,Hilton McLean,464.550000,split,469.550000,DTCS,88.5,88.5,244,NN,244,Tone->Tone,NFM,5.00,,50W,Hilton McLean Tysons Corner,,,,
68,Hyatt Reg Reston,461.775000,split,466.775000,DTCS,88.5,88.5,631,NN,631,Tone->Tone,NFM,5.00,,50W,Hyatt Regency Reston,,,,
69,Hyatt Dulles Ops,452.000000,split,457.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Operations,,,,
70,Hyatt Dulles Mnt,452.000000,split,457.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Maintenance,,,,
71,NGrumnScrty,462.250000,split,467.250000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Northrop Grumman Security/Operations,,,,
72,NorthGrumSec,461.625000,split,466.250000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Northrop Grumman Security/Operations,,,,
73,TGM Towers,461.375000,split,466.375000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,TGM Circle Towers,,,,
74,Rotonda Sec,463.725000,split,468.725000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,The Rotonda - Security,,,,
75,The Fairfax,464.875000,split,469.875000,DTCS,88.5,88.5,664,NN,664,Tone->Tone,FM,5.00,,50W,The Fairfax,,,,
76,Secuirty,462.175000,split,467.175000,DTCS,88.5,88.5,731,NN,731,Tone->Tone,FM,5.00,,50W,Boeing Service Company - Security,,,,
77,BoengService,461.975000,split,466.975000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Boeing Service Company - Security,,,,
78,MITRE Sec,464.875000,split,469.875000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,MITRE - Security,,,,
79,Skyline,451.350000,split,456.350000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Skyline,,,,
80,Skyline Eng,451.350000,split,456.350000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Skyline - Engineering,,,,
81,Rotonda Mnt,463.725000,split,468.725000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,The Rotonda - Maintenance,,,,
82,Verisign,452.212500,split,457.212500,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Verisign,,,,
83,RestonTC Ops,461.850000,split,466.850000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Reston Town Center Operations,,,,
84,RestonTC Eng,461.850000,split,466.850000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Reston Town Center Engineering,,,,
85,RestonTC Eng,464.737500,split,469.737500,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Reston Town Center Engineering,,,,
