Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,FCFD 4N T/A1,851.862500,,0.600000,TSQL,94.8,94.8,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire/EMS 4N Talk-Around 1 (also 47N - Fairfax City FD Talkaround),,,,
1,FCFD 4O T/A2,852.762500,,0.600000,TSQL,94.8,94.8,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire/EMS 4O Talk-Around 2 (also 47O - Fairfax City FD Safety),,,,
2,Mount Vernon HS,152.345000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Mount Vernon High School,,,,
3,Mark Twain MS,152.975000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Mark Twain Middle School,,,,
4,Holmes MS,152.345000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Holmes Middle School,,,,
5,ThomEdison HS,151.595000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Thomas Edison High School,,,,
6,School Buses,152.412500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,School Buses,,,,
7,Bailey's Elem Sc,150.935000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Bailey's Elementary School,,,,
8,UOSA Secndry,489.287500,split,492.287500,TSQL,151.4,151.4,023,NN,023,Tone->Tone,FM,5.00,,50W,Secondary Dispatch/Operations,,,,
9,UOSA Primary,495.287500,split,498.287500,TSQL,151.4,151.4,023,NN,023,Tone->Tone,FM,5.00,,50W,Primary Dispatch/Operations,,,,
10,Vienna PW,155.700000,split,154.800000,TSQL,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,50W,Public Works,,,,
11,ARC FC,47.420000,split,46.040000,TSQL,146.2,146.2,023,NN,023,Tone->Tone,FM,5.00,,50W,Falls Church,,,,
12,Herndon PW,453.850000,split,458.850000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Public Works,,,,
13,Herndon Wat/Sewr,451.337500,split,456.337500,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Water/Sewer,,,,
14,FFX CUE Bus,494.987500,split,497.987500,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,City-University Energysaver (CUE) Bus System,,,,
15,Ffx ARES,146.790000,split,146.190000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Fairfax County ARES/NVFMA - Fairfax,,,,
16,Ffx ARES Alt,146.910000,split,146.310000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Fairfax County ARES Alt/NVFMA - Tysons Corner,,,,
17,USGS Sec/Mnt,451.725000,split,456.725000,DTCS,88.5,88.5,454,NN,454,Tone->Tone,NFM,5.00,,50W,US Geological Survey - Security/Maintenance,,,,
