Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,27Mhz RC,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"The 27 MHz band is legal in most, if not all, countries for use with all types of RCs. Subject to interference from adjacent CB Operation. Note:cheap toys seem to usually use Channel 4 if there is no channel stated.",,,,
1,Ch 1 Brown,26.995000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
2,Ch 2 Red,27.045000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
3,Ch 3 Orange,27.095000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
4,Ch 4 Yellow,27.145000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
5,Ch 5 Green,27.195000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
6,Ch 6 Blue,27.255000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
9,Citizens Band FM,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
10,CB 1 FM,26.965000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
11,CB 2 FM,26.975000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
12,CB 3 FM,26.985000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
13,CB 4 FM,27.005000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
14,CB 5 FM,27.015000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
