Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,IAD United,130.375,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,United - Maintenance,,,,
1,IAD UnitedEx,131.075,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,United Express - Arrival Operations (Air Wisconsin),,,,
2,IAD Continen,131.2,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Continental / Continental Express,,,,
3,IAD United,131.375,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,United - Operations,,,,
4,IAD Lockheed,129.975,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Lockheed Martin,,,,
5,IAD Saudia,130.125,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Saudia,,,,
6,IAD Saudia,131.4,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Saudia,,,,
7,IAD Delta,131.775,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Delta,,,,
8,IAD UnitedEx,130.725,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,"United Express - Departure Operations, Terminals C and D (Mesa [""Air Shuttle""])",,,,
9,IAD British,129.15,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,"British Airways (""Speedbird"")",,,,
10,IAD FedEx,131.925,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,FedEx,,,,
11,IAD UnitedEx,130.15,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,"United Express (Air Wisconsin, Mesa [""Air Shuttle""], Trans States)",,,,
12,IAD UnitedEx,131.375,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,United Express - Systems Maintenance,,,,
13,IAD UnitedEx,131.65,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,"United Express - Departure Operations, Terminal A",,,,
14,IAD AirTran,129.075,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,"AirTran (""Citrus"")",,,,
15,IAD AmerConn,129.325,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,American Connection/CHQ,,,,
16,IAD US Air,129.825,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,US Airways/US Express,,,,
17,IAD TransSts,129.45,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,"Trans States Airlines (""Waterski"")",,,,
18,IAD American,129.225,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,American,,,,
19,Piedmont,129.525,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Piedmont Aviation,,,,
20,IADLufthansa,131.575,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Lufthansa,,,,
21,IAD SWA,131.325,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Southwest Airlines,,,,
22,IAD Delta,131.85,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Delta Airlines,,,,
23,IAD JetBlue,136.6,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,JetBlue,,,,
24,IAD VirginAm,130.7,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Virgin America,,,,
25,IAD UAL130.6,130.6,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,United - Operations,,,,
26,Signature FS,131.875,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Signature Flight Support,,,,
27,Jet Aviation,129.775,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Jet Aviation,,,,
28,Dulles Jet,130.65,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Dulles Jet Center,,,,
29,IAD Tower,120.1,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Tower - Runway 1R/19L,,,,
30,IAD Tower,317.8,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Tower - Runway 1R/19L / Ground - East,,,,
31,IAD Tower-W,134.425,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,"Tower - West (Rwys 1L/19R, 12/30)",,,,
32,IAD Twr1/19C,348.6,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Tower - Center (1C/19C),,,,
33,IAD Grnd-E,121.9,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Ground - East,,,,
34,IAD Grnd-C,132.45,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Ground Center (1C/19C),,,,
35,IAD ATIS,134.85,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Automatic Terminal Information Service (ATIS),,,,
36,IAD Grnd-Spr,121.725,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Ground - Spare,,,,
37,IAD ClearDel,135.7,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Clearance Delivery,,,,
38,IAD Spare,124.075,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Spare (used for Clearance Delivery and/or Ground West as needed),,,,
39,IAD De-Icing,129.175,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,De-Icing,,,,
40,IAD De-Icing,129.525,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,De-Icing,,,,
41,IAD Ramp-N,119.125,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Ramp Control - North (Taxilanes A/B),,,,
42,IAD Ramp-S,130.55,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,"Ramp Control - South (peak alternate, Taxilane E and F/G Ramps)",,,,
43,IAD Ramp-S,129.55,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Ramp Control - South (Taxilanes C/D/E during off peak traffic periods),,,,
44,IAD Ops,122.775,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Dulles Operations,,,,
45,IAD Twr1-19C,120.25,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Tower - Center (Runways 1C/19C),,,,
46,IAD Grnd-W,121.625,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,"Ground West (Rwys 1L/19R, 12/30)",,,,
47,IAD UNICOM,122.95,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,UNICOM,,,,
48,Twr Emergency,123.775,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Tower - Emergency,,,,
49,Class B App,128.525,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,"Class B Approach/Departure 091&deg;-240&deg; (""BARIN"")",,,,
50,Class B App,120.45,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,"Class B Approach/Departure 241&deg;-330&deg; (""MANNE"")",,,,
51,Class B App,126.1,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,"Class B Approach/Departure 331&deg;-090&deg; (""MULRR"")",,,,
52,BARIN/MANNE,343.775,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,BARIN/MANNE/RCOLA/Final Approach,,,,
53,FinalAppWest,134.2,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Final Approach - West,,,,
54,FinalAppEast,125.8,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Final Approach - East,,,,
55,Depart North,125.05,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,"Departure Control - North (""ASPER"")",,,,
56,Depart South,126.65,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,"Departure Control - South (""TILLY"")",,,,
57,ASPER/TILLY,350.2,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,ASPER/TILLY,,,,
58,RCOLA,135.775,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,RCOLA,,,,
59,RCOLA,343.775,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,RCOLA,,,,
60,LUCKE,126.825,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,LUCKE,,,,
61,LUCKE,239.025,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,LUCKE,,,,
62,BUFFR,133.85,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,BUFFR,,,,
63,BUFFR/LURAY,254.25,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,BUFFR/LURAY,,,,
64,LURAY,118.675,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,LURAY,,,,
65,Appr ADIZ W,127.325,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Approach ADIZ West Sector,,,,
66,Appr ADIZ W,236.775,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Approach ADIZ West Sector,,,,
67,PotAppNthArr,133,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Potomac Approach - North Arrival Hi BINNS,,,,
68,LURAY,257.875,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,LURAY,,,,
69,IAD TSA 900,172.9,split,169.3,,88.5,88.5,23,NN,23,Tone->Tone,P25,5,,50W,Transportation Security Administration (TSA) (some encryption),,,,
70,IAD TSA 150,172.15,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,P25,5,,50W,Transportation Security Administration (TSA),,,,
71,IAD ICE,168.925,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,P25,5,,50W,Immigration and Customs Enforcement (ICE),,,,
72,IAD FAA NavC,171.4875,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,P25,5,,50W,FAA NavCom (some encryption),,,,
73,IAD TSA 1625,169.1625,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,P25,5,,50W,Transportation Security Administration (TSA),,,,
74,IAD Shuttles,464.925,split,469.925,DTCS,88.5,88.5,532,NN,532,Tone->Tone,FM,5,,50W,Parking/Employee Shuttle Buses,,,,
75,IAD Shuttles,453.2,split,458.2,DTCS,88.5,88.5,47,NN,47,Tone->Tone,FM,5,,50W,Parking/Employee Shuttle Buses,,,,
76,IAD MobLnges,407.45,split,409.2,DTCS,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,Mobile Lounges,,,,
77,IAD BP .805,151.805,,0.6,TSQL,71.9,71.9,23,NN,23,Tone->Tone,FM,5,,50W,Air BP,,,,
78,IAD BP .925,151.925,,0.6,TSQL,71.9,71.9,23,NN,23,Tone->Tone,FM,5,,50W,Air BP,,,,
79,IAD BP .225,461.225,,0.6,TSQL,118.8,118.8,23,NN,23,Tone->Tone,FM,5,,50W,Air BP,,,,
80,IAD PageAvjt,154.515,,0.6,TSQL,114.8,114.8,23,NN,23,Tone->Tone,FM,5,,50W,Page Avjet,,,,
81,IAD BP .1225,151.1225,,0.6,TSQL,71.9,71.9,23,NN,23,Tone->Tone,FM,5,,50W,Air BP,,,,
82,IAD Swissprt,452.275,split,457.275,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Swissport,,,,
83,IAD VirgnAtl,461.6125,split,466.6125,DTCS,88.5,88.5,72,NN,72,Tone->Tone,NFM,5,,50W,Virgin Atlantic,,,,
84,IAD JtBl .65,460.65,split,465.65,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,JetBlue,,,,
85,IAD American,460.875,split,465.875,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,American,,,,
86,IAD BritAirw,463.3,split,468.3,DTCS,88.5,88.5,371,NN,371,Tone->Tone,NFM,5,,50W,British Airways,,,,
87,IAD Lufthans,464.825,split,469.825,TSQL,167.9,167.9,23,NN,23,Tone->Tone,NFM,5,,50W,Lufthansa,,,,
88,IAD Delta,460.75,split,465.75,TSQL,162.2,162.2,23,NN,23,Tone->Tone,NFM,5,,50W,Delta,,,,
89,IAD JtBl7625,464.7625,split,469.7625,TSQL,203.5,203.5,23,NN,23,Tone->Tone,NFM,5,,50W,JetBlue,,,,
90,IADCommutair,464.8,split,469.8,DTCS,88.5,88.5,624,NN,624,Tone->Tone,NFM,5,,50W,Commutair,,,,
91,IAD Alaska,452.225,split,457.225,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Alaska,,,,
92,IAD Emirates,452.05,split,457.05,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Emirates,,,,
93,IAD Southwest,460.7625,split,465.7625,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Southwest,,,,
94,IAD AIRINC,460.7875,split,465.7875,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,AIRINC,,,,
95,IAD All Nippon,460.8,split,465.8,TSQL,103.5,103.5,23,NN,23,Tone->Tone,NFM,5,,50W,All Nippon,,,,
96,IAD Hertz,462.45,split,467.45,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Hertz,,,,
97,IAD Vanguard,451.975,,0.6,DTCS,88.5,88.5,74,NN,74,Tone->Tone,NFM,5,,50W,Vanguard,,,,
98,IAD Hertz,463.325,split,468.325,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Hertz,,,,
99,DulesTwnCntr,451.525,split,456.525,DTCS,88.5,88.5,411,NN,411,Tone->Tone,FM,5,,50W,Security/Engineering,,,,
100,TwnCntrHskpg,451.3,,0.6,DTCS,88.5,88.5,411,NN,411,Tone->Tone,FM,5,,50W,Housekeeping,,,,
101,Dick's Ops,467.925,,0.6,TSQL,71.9,71.9,23,NN,23,Tone->Tone,FM,5,,50W,Dick's Sporting Goods,,,,
102,LesburgScrty,462.4,split,467.4,TSQL,110.9,110.9,23,NN,23,Tone->Tone,FM,5,,50W,Security,,,,
103,1,467.5125,,0.6,DTCS,88.5,88.5,115,NN,115,Tone->Tone,FM,5,,50W,Target - Leesburg,,,,
104,Costco,151.955,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,Costco - Leesburg,,,,
105,Best Buy,467.925,,0.6,DTCS,88.5,88.5,506,NN,506,Tone->Tone,FM,5,,50W,Best Buy - Leesburg,,,,
106,1,462.675,,0.6,DTCS,88.5,88.5,71,NN,71,Tone->Tone,FM,5,,50W,CarMax,,,,
107,2,467.875,,0.6,DTCS,88.5,88.5,71,NN,71,Tone->Tone,FM,5,,50W,CarMax,,,,
108,HarrTeeter VPC,467.85,,0.6,TSQL,146.2,146.2,23,NN,23,Tone->Tone,NFM,5,,50W,Harris Teeter (Village Plaza Center),,,,
109,CFA SugarlandCr,450.225,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,50W,Chick-Fil-A (Sugarland Crossing),,,,
