Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,LCFR 6O,851.8375,,0.6,TSQL,186.2,186.2,23,NN,23,Tone->Tone,NFM,5,,50W,Fire/Rescue 6O,,,,
1,LoudnJuvDetC,150.79,,0.6,TSQL,107.2,107.2,23,NN,23,Tone->Tone,FM,5,,50W,Juvenile Detention Center,,,,
2,LC HamltnVRS,47.54,,0.6,TSQL,146.2,146.2,23,NN,23,Tone->Tone,FM,5,,50W,Hamilton Volunteer Rescue Squad,,,,
3,LoudounWater,452.125,split,457.125,TSQL,151.4,151.4,23,NN,23,Tone->Tone,NFM,5,,50W,Loudoun Water,,,,
4,LCFR 6N,851.8625,,0.6,TSQL,210.7,210.7,23,NN,23,Tone->Tone,NFM,5,,50W,Fire/Rescue 6N,,,,
5,NVCC-L PD,773.40625,split,803.40625,,88.5,88.5,23,NN,23,Tone->Tone,P25,5,,50W,Police,,,,
6,Purcellvl PD,460.0375,split,465.0375,DTCS,88.5,88.5,156,NN,156,Tone->Tone,FM,5,,50W,Police,,,,
7,ARC Ashburn,47.42,split,46.04,TSQL,146.2,146.2,23,NN,23,Tone->Tone,FM,5,,50W,Ashburn,,,,
8,ARC Ashburn,47.5,,0.6,TSQL,146.2,146.2,23,NN,23,Tone->Tone,FM,5,,50W,Ashburn,,,,
9,RdHill Offc1,155.7675,,0.6,DTCS,88.5,88.5,464,NN,464,Tone->Tone,FM,5,,50W,Town Office (Ch. 1),,,,
10,RdHill PW 2,154.0325,split,156.1575,DTCS,88.5,88.5,627,NN,627,Tone->Tone,FM,5,,50W,Public Works (Ch. 2),,,,
11,RdHill PW 3,154.0925,,0.6,DTCS,88.5,88.5,523,NN,523,Tone->Tone,FM,5,,50W,Public Works (Ch. 3),,,,
12,Leesburg PW,453.725,split,458.725,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Public Works,,,,
13,LCPS AdmBldg,462.1125,split,467.1125,DTCS,88.5,88.5,445,NN,445,Tone->Tone,FM,5,,50W,School Administration Building,,,,
14,LoudonCo HS,451.4,split,456.4,TSQL,71.9,71.9,23,NN,23,Tone->Tone,FM,5,,50W,Loudoun County High School,,,,
15,Broad Run HS,451.4,split,456.4,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,50W,Broad Run High School,,,,
