Channel Number,Channel Name,Channel Type,Rx Frequency,Tx Frequency,Bandwidth (kHz),Colour Code,Timeslot,Contact,TG List,DMR ID,TS1_TA_Tx,TS2_TA_Tx ID,RX Tone,TX Tone,Squelch,Power,Rx Only,Zone Skip,All Skip,TOT,VOX,No Beep,No Eco,APRS,Latitude,Longitude,Use Location
1,GMRS 1,Analogue,	462.56250,	462.56250,25,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No,None,0,0,No
2,GMRS 2,Analogue,	462.58750,	462.58750,25,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No,None,0,0,No
3,GMRS 3,Analogue,	462.61250,	462.61250,25,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No,None,0,0,No
4,GMRS 4,Analogue,	462.63750,	462.63750,25,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No,None,0,0,No
5,GMRS 5,Analogue,	462.66250,	462.66250,25,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No,None,0,0,No
6,GMRS 6,Analogue,	462.68750,	462.68750,25,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No,None,0,0,No
7,GMRS 7,Analogue,	462.71250,	462.71250,25,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No,None,0,0,No
8,GMRS 8,Analogue,	467.56250,	467.56250,25,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No,None,0,0,No
9,GMRS 9,Analogue,	467.58750,	467.58750,25,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No,None,0,0,No
10,GMRS 10,Analogue,	467.61250,	467.61250,25,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No,None,0,0,No
11,GMRS 11,Analogue,	467.63750,	467.63750,25,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No,None,0,0,No
12,GMRS 12,Analogue,	467.66250,	467.66250,25,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No,None,0,0,No
13,GMRS 13,Analogue,	467.68750,	467.68750,25,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No,None,0,0,No
14,GMRS 14,Analogue,	467.71250,	467.71250,25,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No,None,0,0,No
15,GMRS 15,Analogue,	462.55000,	462.55000,25,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No,None,0,0,No
16,GMRS 16,Analogue,	462.57500,	462.57500,25,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No,None,0,0,No
17,GMRS 17,Analogue,	462.60000,	462.60000,25,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No,None,0,0,No
18,GMRS 18,Analogue,	462.62500,	462.62500,25,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No,None,0,0,No
19,GMRS 19,Analogue,	462.65000,	462.65000,25,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No,None,0,0,No
20,GMRS 20,Analogue,	462.67500,	462.67500,25,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No,None,0,0,No
21,GMRS 21,Analogue,	462.70000,	462.70000,25,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No,None,64.0509,18.8317,Yes
22,GMRS 22,Analogue,	462.72500,	462.72500,25,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No,None,0,0,No
23,WQPL257 G,Analogue,	462.55000,	467.55000,25,,,,,,,,None,118.8,Disabled,Master,No,No,No,0,Off,Yes,No,None,39.2062,-78.3539,Yes
24,COMM 2 G,Analogue,	462.67500,	467.67500,25,,,,,,,,None,D114N,Disabled,Master,No,No,No,0,Off,No,No,None,39.1737,-78.3864,Yes
25,Blue Mountain G,Analogue,	462.60000,	467.60000,25,,,,,,,,None,146.2,Disabled,Master,No,No,No,0,Off,No,No,None,38.9573,-78.0238,Yes
