Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,Winchester GMRS Repeaters,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
2,WQPL257,462.550000,+,5.000000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,6.0W,WQPL257 Mountain Winchester GMRS Repeater,,,,
3,BlueMountain,462.600000,+,5.000000,Tone,146.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,6.0W,Blue Mountain Front Royal GMRS Repeater,,,,
4,Falling Waters,462.625000,+,5.000000,TSQL,88.5,179.9,023,NN,023,Tone->Tone,FM,5.00,,50W,"WRXA649 near Falling waters, Berkeley County, West Virginia OPEN",,,,
5,Branch Mountain,462.625000,+,5.000000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,FM,5.00,,50W,"WSCR594 near Moorefield, Hardy County, West Virginia OPEN 3250 Ft ASL Harris Mastr III w/Super Station Master Antenna   Still making improvements.",,,,
6,COMM 2,462.675000,+,5.000000,DTCS,88.5,88.5,114,NN,114,Tone->Tone,FM,5.00,,6.0W,COMM 2 Mountain Winchester GMRS Repeater,,,,
7,Warrenton,462.725000,+,5.000000,Tone,146.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,6.0W,Warrenton GMRS Repeater,,,,
11,Baltimore GMRS Repeaters,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
12,Towson 600,462.600000,+,5.000000,Tone,192.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,6.0W,Towson 600 GMRS Repeater,,,,
13,Digger,462.675000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,6.0W,Digger Pasadena MD GMRS Repeater,,,,
14,York575,462.575000,,0.600000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
