Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,2024 NASCAR Frequencies,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
1,Ross Chastain 1,463.237500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
2,Ross Chastain 2,469.387500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
3,Austin Cindric 1,466.212500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
4,Austin Cindric 2,452.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
5,Austin Dillon 1,469.012500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
6,Austin Dillon 2,462.025000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
7,Kevin Harvick 1,469.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
8,Kevin Harvick 2,452.012500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
9,Kyle Larson 1,465.862500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
10,Kyle Larson 2,451.987500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
11,Brad Keselowski 1,466.275000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
12,Brad Keselowski 2,461.350000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
13,Corey LaJoie 1,469.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
14,Corey LaJoie 2,468.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
