Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,Allegh Power,158.160000,,0.600000,DTCS,88.5,88.5,116,NN,116,Tone->Tone,FM,5.00,,50W,Allegheny Power - Winchester Office,,,,
2,BFI Waste,464.900000,split,469.900000,DTCS,88.5,88.5,627,NN,627,Tone->Tone,FM,5.00,,50W,BFI Waste Services,,,,
3,SE Container,464.125000,split,469.125000,DTCS,88.5,88.5,025,NN,025,Tone->Tone,FM,5.00,,50W,South Eastern Container,,,,
4,West Canterbury,464.100000,split,469.100000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Westminster Canterbury,,,,
5,Valley Redi Mix,464.450000,split,469.450000,TSQL,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,50W,Valley Redi Mix,,,,
6,Yellow Cab,152.450000,split,159.710000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Yellow Cab of Winchester,,,,
7,Quarles Petro,451.775000,split,456.775000,DTCS,88.5,88.5,152,NN,152,Tone->Tone,FM,5.00,,50W,Quarles Petroleum,,,,
8,Lake Holiday 525,462.525000,split,467.525000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Lake Holiday - Security,,,,
9,Lake Holiday 975,451.975000,split,456.975000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Lake Holiday - Security,,,,
10,Village OrchRidg,452.600000,split,457.600000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Village at Orchard Ridge,,,,
11,CanineValidCntr,464.875000,split,469.875000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Canine Validation Center,,,,
12,NSSA 1,159.750000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,North-South Skirmish Association (Ch. 1),,,,
13,NSSA 2,159.960000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,North-South Skirmish Association (Ch. 2),,,,
14,NSSA 3,160.320000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,North-South Skirmish Association (Ch. 3),,,,
15,NSSA 4,160.020000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,North-South Skirmish Association (Ch. 4),,,,
16,BoyScoutsAm,151.505000,split,158.400000,DTCS,88.5,88.5,043,NN,043,Tone->Tone,FM,5.00,,50W,Boy Scouts of America,,,,
17,Alban CAT,153.020000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Alban CAT,,,,
18,Office Max,467.850000,,0.600000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,Office Max,,,,
19,Costco,151.955000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Costco,,,,
20,Charlotte Russe,467.850000,,0.600000,TSQL,173.8,173.8,023,NN,023,Tone->Tone,NFM,5.00,,50W,Charlotte Russe,,,,
21,Victoria's Secre,467.925000,,0.600000,DTCS,88.5,88.5,743,NN,743,Tone->Tone,NFM,5.00,,50W,Victoria's Secret,,,,
22,Shoe Dept Encore,467.875000,,0.600000,DTCS,88.5,88.5,072,NN,072,Tone->Tone,NFM,5.00,,50W,Shoe Dept Encore,,,,
23,4 Catering,462.425000,,0.600000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Catering Team Members,,,,
24,5 DriveThru,462.525000,,0.600000,TSQL,114.8,114.8,023,NN,023,Tone->Tone,NFM,5.00,,50W,Drive-Thru Team Members,,,,
25,6 Face-Face,462.625000,,0.600000,TSQL,127.3,127.3,023,NN,023,Tone->Tone,NFM,5.00,,50W,Face to Face Channel,,,,
26,HD 1 IDC,463.287500,,0.600000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,50W,IDC,,,,
27,HC 2 Sec?,461.612500,,0.600000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Security?,,,,
28,HD 3 Yard,464.637500,,0.600000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Yard Switchers,,,,
29,HD 4 Ops?,463.262500,,0.600000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Operations?,,,,
30,HD 5 Ops?,463.212500,,0.600000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Operations?,,,,
31,HD 6 Transfr,461.787500,,0.600000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Transfer Facility,,,,
