Output Freq,Input Freq,Offset,Uplink Tone,Downlink Tone,Location,County,Lat,Long,Call,Use,Op Status,Mode,Digital Access,EchoLink,IRLP,AllStar,Coverage,Status,Last Update
440.5125,445.5125,+,,,Hampton,(independent),37.00719833,-76.35079956,K4LCT,OPEN,On-Air,DMR,7,,,,,On-Air,2021-03-29
440.55,445.55,+,,,Rushmere,Isle of Wight,37.10329819,-76.70999908,N6DLH,OPEN,On-Air,DMR,1,,,,,On-Air,2024-04-19
440.7,445.7,+,,,Williamsburg,James City,37.2415,-76.7167,KO4VQE,OPEN,Unknown,DStar,,,,,,Unknown,2023-08-17
440.7,445.7,+,,,Roanoke - Long Ridge,Roanoke,37.2322998,-80.04570007,KD4EG,OPEN,On-Air,DMR,1,,,,,On-Air,2022-12-24
440.8,445.8,+,77,,Ripplemead,,37.3370675,-80.6861796,KD4BNQ,OPEN,On-Air,YSF,,,,,,On-Air,2024-04-19
441.3375,446.3375,+,,,Tysons Corner,Fairfax,38.91859818,-77.2315979,N9KET,OPEN,On-Air,DMR,1,,,,,On-Air,2023-08-15
441.45,446.45,+,110.9,,Arlington,Fairfax,38.88000107,-77.10679626,W4CIA,OPEN,On-Air,YSF/analog,,,,,,On-Air,2022-07-03
441.65,446.65,+,,,Tysons Corner,Fairfax,38.9187222,-77.2310925,N9KET,OPEN,Unknown,DMR,2,,,,,Unknown,2022-04-12
441.75,446.75,+,77,,Martinsville - Chestnut Knob,Henry,36.61375,-79.91727,W4RPS,OPEN,On-Air,Analog/analog,,,,,,On-Air,2024-03-18
441.8125,446.8125,+,,,Newport News,(independent),37.08710098,-76.47299957,W4MT,OPEN,On-Air,DStar,,,,,,On-Air,2022-11-26
441.825,446.825,+,107.2,,Chatham,Pittsylvania,36.8256943,-79.3980806,W4FYB,OPEN,On-Air,Analog/analog,,,,,,On-Air,2024-10-04
441.85,446.85,+,,,Martinsville - Chestnut Knob,Henry,36.69150162,-79.87249756,N2TEK,OPEN,On-Air,DMR,15,,,,,On-Air,2021-05-07
441.9,446.9,+,103.5,103.5,Gate City,Scott,36.8973999,-82.62210083,K4GV,OPEN,On-Air,YSF/analog,,,,,,On-Air,2021-10-21
441.925,446.925,+,,,Lexington - Brushy Hill,Rockbridge,37.78900146,-79.48799896,W4DHW,OPEN,On-Air,DMR,1,,,,,On-Air,2019-12-13
441.95,446.95,+,107.2,107.2,Pearisburg - Bald Knob,Giles,37.35010147,-80.53720093,KD4BNQ,OPEN,Unknown,Analog/analog,,,,,,Unknown,2020-04-06
441.975,446.975,+,,,Christiansburg - Fishers View Mountain,Montgomery,37.0925,-80.306,KD4ADL,OPEN,On-Air,DMR,9,,,,,On-Air,2024-04-23
442,447,+,146.2,146.2,Winchester,Frederick,39.18569946,-78.16329956,W3IF,OPEN,On-Air,YSF/analog,,,,,,On-Air,2022-04-05
442,447,+,103.5,103.5,Chilhowie,Smyth,36.79470062,-81.69360352,W4DWN,OPEN,On-Air,YSF/analog,,,,,,On-Air,2018-02-04
442,447,+,110.9,,Montross,Westmoreland,38.0951004,-76.82749939,KJ4PGD,OPEN,Unknown,YSF/analog,,,,,,Unknown,2021-08-27
442.025,447.025,+,131.8,131.8,Staunton - Gypsy Hill Park,(independent),38.159647,-79.086082,K3RFP,OPEN,On-Air,YSF/analog,,,,,,On-Air,2020-05-16
442.05,447.05,+,179.9,,Stephens City,Frederick,39.0834398,-78.2180567,N2XIF,OPEN,Unknown,Analog/analog,,235806,,,,Unknown,2020-12-20
442.05,447.05,+,,,Talleysville,New Kent,37.513553,-77.066039,K2VIZ,OPEN,On-Air,DMR,1,,,,Wide area,On-Air,2023-01-09
442.05,447.05,+,,,Lexington - Brushy Hill,Rockbridge,37.78900146,-79.48799896,W4DHW,OPEN,Unknown,YSF,293,,,,,Unknown,2019-12-25
442.06,447.06,+,,,Alexandria - Hospital,(independent),38.82220078,-77.10540009,W4HFH,OPEN,On-Air,DStar,,,,,,On-Air,2022-10-05
442.075,447.075,+,151.4,,Charlottesville - Carter's Mountain,Albemarle,38.02930069,-78.47669983,KF4UCI,OPEN,On-Air,Analog/analog,,,,,,On-Air,2017-04-05
442.075,447.075,+,,,Pulaski - Peaks Knob,Pulaski,37.02420044,-80.74629974,K4XE,OPEN,On-Air,DMR,9,,,,,On-Air,2021-05-08
442.1,447.1,+,77,,Leesburg,Loudoun,39.11569977,-77.56359863,WA4TXE,OPEN,On-Air,Analog/analog,,,,,,On-Air,2021-05-24
442.1,447.1,+,103.5,,"Honaker - Big A Mountain, VA",Russell,37.05199814,-82.03549957,KM4HDM,OPEN,On-Air,DMR/analog,1,,,,,On-Air,2023-07-06
442.1125,447.1125,+,,,Fredericksburg,Stafford,38.33250046,-77.3946991,N8RAT,OPEN,Unknown,DMR,1,,,,,Unknown,2022-01-19
442.1375,447.1375,+,,,Ashburn,Loudoun,39.07157982,-77.4816885,WB6EFW,OPEN,On-Air,DMR,1,,,,,On-Air,2021-11-20
442.175,447.175,+,100,100,Hampton,(independent),37.0351,-76.4205,N6GVG,PRIVATE,Testing,Analog/analog,,,,,,Testing,2024-03-18
442.2,447.2,+,100,,Manassas,Prince William,38.783558,-77.522406,W4OVH,OPEN,On-Air,YSF/analog,,,,,,On-Air,2021-03-17
442.2,447.2,+,107.2,107.2,Roanoke - Poor Mountain,Roanoke,37.1975,-80.1525,AE4JA,OPEN,On-Air,YSF/analog,,,,,,On-Air,2023-04-04
442.225,447.225,+,,,Fancy Gap,Carroll,36.66600037,-80.69229889,N4YR,OPEN,Unknown,Analog/analog,,,,,,Unknown,2020-11-15
442.2375,447.2375,+,,,Virginia Beach - Mt Trashmore,(independent),36.83079,-76.12885,WB4JCX,OPEN,On-Air,DMR,1,,,,,On-Air,2022-12-17
442.25,447.25,+,100,,Covington - Warm Springs Mountain,Bath,37.99372,-79.80755,WA4PGI,OPEN,On-Air,Analog/analog,,,,,,On-Air,2024-03-18
442.25,447.25,+,167.9,167.9,Warrenton,Fauquier,38.71350098,-77.79530334,W4VA,OPEN,On-Air,Analog/analog,,,,,,On-Air,2020-09-06
442.325,447.325,+,100,100,Fancy Gap,Carroll,36.66600037,-80.69229889,KB4GHT,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2023-03-11
442.35,447.35,+,123,,Linden - Blue Ridge Mountains,Fauquier,38.9090004,-78.07559967,N3UR,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-07-03
442.4,447.4,+,,,Fredericksburg,(independent),38.311249,-77.483059,WX4EMC,OPEN,On-Air,DMR,1,,,,,On-Air,2023-09-07
442.4,447.4,+,107.2,107.2,Lynchburg - Jack Mountain,Campbell,37.3368085,-79.1533656,KF4YI,OPEN,On-Air,Analog/analog,,,,,,On-Air,2023-03-23
442.4125,447.4125,+,,,Alexandria,(independent),38.80479813,-77.04689789,W4HFH,OPEN,On-Air,DMR,1,,,,,On-Air,2020-12-23
442.4125,447.4125,+,,,Haymarket,Prince William,38.81209946,-77.63639832,N4USI,OPEN,Unknown,DStar,,,,,,Unknown,2013-07-29
442.425,447.425,+,107.2,107.2,Fancy Gap,Carroll,36.66600037,-80.69229889,KF4OVA,OPEN,On-Air,Analog/analog,,477057,8311,,Wide area,On-Air,2019-08-16
442.4375,447.4375,+,,,Herndon - Worldgate,Fairfax,38.96960068,-77.38610077,N3QEM,OPEN,On-Air,DMR,1,,,,,On-Air,2024-08-16
442.45,447.45,+,100,100,Norfolk - Norfolk Waterfront,(independent),36.84562,-76.28962,KC2HTT,OPEN,On-Air,YSF/analog,,,,,,On-Air,2022-01-01
442.45,447.45,+,79.7,,Stafford,Stafford,38.40511,-77.54411,WS4VA,OPEN,On-Air,YSF/analog,,,,,,On-Air,2022-08-09
442.475,447.475,+,77,77,Maurertown,Shenandoah,38.92969894,-78.46379852,N3UHD,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-04-05
442.4875,447.4875,+,,,Stafford,Stafford,38.42210007,-77.40830231,WU5MC,OPEN,Unknown,DStar,,,,,,Unknown,2018-12-23
442.5,447.5,+,107.2,,Roanoke - Poor Mountain,Roanoke,37.19760132,-80.15229797,W4CA,OPEN,On-Air,YSF/analog,,,,,,On-Air,2023-04-04
