Output Freq,Input Freq,Offset,Uplink Tone,Downlink Tone,"Location",County,Lat,Long,Call,Use,Op Status,Mode,Digital Access,EchoLink,IRLP,AllStar,Coverage,Status,Last Update
29.66000,29.56000,-,141.3,141.3,"Silver Spring",Montgomery,38.99069977,-77.02610016,N3AUY,OPEN,On-Air,Analog/analog,,,,,,On-Air,2023-03-12
53.09000,52.59000,-,107.2,107.2,"Westminster",Carroll,39.56655600,-76.97381100,K3PZN,OPEN,Off-Air,Analog/analog,,,,,,Off-Air,2021-06-30
53.17000,52.67000,-,100.0,100.0,"Prince Frederick",Calvert,38.55959190,-76.59617260,W3PQS,OPEN,On-Air,Analog/analog,,,,,,On-Air,2023-02-19
53.25000,52.75000,-,100.0,100.0,"Ashton",Montgomery,39.14469910,-76.98629761,N3AGB,OPEN,On-Air,Analog/analog,,,,,,On-Air,2014-03-12
53.27000,52.27000,-,156.7,156.7,"Gaithersburg",Montgomery,39.14339828,-77.20140076,KV3B,OPEN,On-Air,Analog/analog,,,,,,On-Air,2023-01-14
53.47000,52.47000,-,107.2,107.2,"Frederick - Gambrill State Park",Frederick,39.49465000,-77.49872000,N3KTX,OPEN,On-Air,Analog/analog,,,,,,On-Air,2023-11-09
53.83000,52.83000,-,94.8,,"Port Deposit",Cecil,39.63793600,-76.07462200,WA3SFJ,OPEN,Unknown,Analog/analog,,,,,,Unknown,2023-02-22
53.93000,53.43000,-,,,"Jarrettsville",Harford,39.60449982,-76.47769928,N3UR,OPEN,Unknown,Analog/analog,,297689,,,,Unknown,2021-11-27
145.12000,144.52000,-,,,"Bel Air",Harford,39.58050156,-76.34739685,KC3FHC,OPEN,On-Air,DStar,,,,,,On-Air,2022-11-03
145.13000,144.53000,-,,,"Crisfield - McCready Hospital",Somerset,37.99652100,-75.85217285,W3OR,OPEN,Unknown,DMR,1,,,,,Unknown,2024-08-17
145.14000,144.54000,-,,,"Towson",Baltimore,39.40284000,-76.60295000,W3DHS,OPEN,Unknown,DStar,,,,,,Unknown,2022-10-05
145.17000,144.57000,-,,,"Frederick - Gambrill State Park",Frederick,39.49459839,-77.49870300,W3FDK,OPEN,Unknown,DStar,,,,,,Unknown,2023-11-11
145.19000,144.59000,-,110.9,,"Cockeysville",Baltimore,39.48120117,-76.64389801,K3NXU,OPEN,On-Air,Analog/analog,,,,,,On-Air,2021-12-23
145.19000,144.59000,-,179.9,179.9,"Ocean Pines - Sandyhook Road Water Tank",Worcester,38.38999939,-75.16359711,N3RCC,OPEN,On-Air,Analog/analog,,,,,,On-Air,2020-01-07
145.23000,144.63000,-,110.9,110.9,"District Heights",Prince Georges,38.85919952,-76.89669800,K3ERA,OPEN,On-Air,YSF/analog,,,,,,On-Air,2023-03-14
145.25000,144.65000,-,,,"Frederck",Frederick,39.41426880,-77.41054090,KK3L,OPEN,Unknown,Analog,,,,,,Unknown,2023-01-09
145.25000,144.65000,-,,,"Chaptico",St. Marys,38.36802010,-76.78189530,N3KUN,Open,Testing,Analog/analog,,,,,,Testing,2023-09-15
145.28000,144.68000,-,,,"Salisbury",Wicomico,38.36069870,-75.59940338,W3PRO,OPEN,On-Air,DStar,,,,,,On-Air,2023-01-14
145.29000,144.69000,-,156.7,,"Bethesda - NIH",Montgomery,38.98070145,-77.10030365,K3YGG,OPEN,On-Air,Analog/analog,,247014,,,,On-Air,2021-05-31
145.33000,144.73000,-,,,"Towson",Baltimore,39.40284000,-76.60295000,W3DHS,OPEN,On-Air,Analog/analog,,,,,,On-Air,2023-09-15
145.35000,144.75000,-,,,"Hollywood",St. Marys,38.35835540,-76.57194140,N3PPH,OPEN,Testing,Analog,,,,,,Testing,2024-10-15
145.37000,144.77000,-,,,"Adelphi",Prince Georges,39.00320053,-76.97190094,W3ARL,OPEN,On-Air,Analog/analog,,,,,,On-Air,2021-11-02
145.39000,144.79000,-,114.8,,"Lexington Park",St. Marys,38.25755170,-76.46209280,N3PX,OPEN,Unknown,Analog/analog,,,,,,Unknown,2022-09-02
145.41000,144.81000,-,114.8,114.8,"Westminster",Carroll,39.56655600,-76.97381100,K3PZN,OPEN,On-Air,Analog/analog,,,,,,On-Air,2021-12-13
145.45000,144.85000,-,123.0,,"Oldtown - Warrior Mountain WMA",Allegany,39.62089920,-78.62039948,W3YMW,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2021-04-11
145.47000,144.87000,-,94.8,94.8,"Elkton",Cecil,39.60677890,-75.83327180,N3RCN,OPEN,On-Air,Analog/analog,,,,,,On-Air,2023-01-14
145.49000,144.89000,-,,,"College Park - UMD",Prince Georges,38.98320007,-76.94360352,W3EAX,OPEN,On-Air,Analog/analog,,,,,,On-Air,2021-10-30
145.67000,145.67000,x,77.0,,"Bel Air",Harford,39.55134100,-76.35680900,K2SHF,OPEN,On-Air,Analog,,,,54781,,On-Air,2024-11-02
146.56500,144.60000,s,,,"Glen Burnie",Anne Arundel,39.16260840,-76.62468860,,OPEN,On-Air,Analog/analog,,242213,,,,On-Air,2021-06-12
146.61000,146.01000,-,CSQ,77.0,"Bladensburg",Prince Georges,38.93930054,-76.93389893,K3GMR,OPEN,On-Air,Analog/analog,,796114,,,,On-Air,2021-01-07
146.62500,146.02500,-,156.7,,"Princess Anne",Somerset,38.20289993,-75.69239807,KA3MRX,OPEN,On-Air,Analog/analog,,,,,,On-Air,2020-12-24
146.64000,146.04000,-,156.7,156.7,"Frederick",Frederick,39.43166670,-77.43833330,K3ERM,OPEN,On-Air,Analog/analog,,,,,,On-Air,2023-11-09
146.64000,146.04000,-,146.2,146.2,"Lexington Park",St. Marys,38.20344720,-76.39476830,K3HKI,OPEN,On-Air,Analog/analog,,,,,,On-Air,2023-06-29
146.67000,146.07000,-,107.2,,"Towson",Baltimore,39.40150070,-76.60189819,W3FT,OPEN,On-Air,Analog/analog,,,,,,On-Air,2021-12-13
146.70000,146.10000,-,173.8,,"Oakland",Garrett,39.40790176,-79.40670013,KB3AVZ,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-05-26
146.71500,146.11500,-,,,"Fort Washington",Prince Georges,38.70733790,-77.02303130,,OPEN,On-Air,Analog,,,,,,On-Air,2023-01-09
146.73000,146.13000,-,141.3,141.3,"Frederick - Gambrill State Park",Frederick,39.49459839,-77.49870300,W3FDK,OPEN,On-Air,Analog/analog,,614369,,54672,,On-Air,2023-01-03
146.76000,146.16000,-,107.2,107.2,"Jessup",Anne Arundel,39.14929962,-76.77519989,WA3DZD,OPEN,On-Air,Analog/analog,,,,,,On-Air,2021-12-13
146.77500,146.17500,-,146.2,146.2,"Bel Air",Harford,39.58039856,-76.34739685,KC3FHC,OPEN,On-Air,Analog/analog,,,,,,On-Air,2021-04-11
146.80500,146.20500,-,107.2,CSQ,"Millersville",Anne Arundel,39.09889984,-76.62229919,W3CU,OPEN,On-Air,Analog/analog,,90911,,,,On-Air,2022-06-29
146.80500,146.20500,-,123.0,,"Oakland",Garrett,39.40999985,-79.28749847,KB8NUF,OPEN,On-Air,Analog/analog,,,,,,On-Air,2021-05-18
146.82000,146.22000,-,156.7,156.7,"Salisbury - WMDT Tower",Wicomico,38.50170135,-75.73580170,K3DRC,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2021-10-23
146.83500,146.23500,-,,,"Greenbelt",Prince Georges,39.00460052,-76.87550354,WA3NAN,OPEN,On-Air,Analog/analog,,40045,,,,On-Air,2023-03-03
146.85000,146.25000,-,107.2,,"Port Deposit",Cecil,39.63793600,-76.07462200,WA3SFJ,OPEN,On-Air,Analog/analog,,585690,,558300,,On-Air,2023-02-22
146.85000,146.25000,-,,,"Hollywood",St. Marys,38.35835540,-76.57194140,W3BPT,OPEN,On-Air,DMR,1,,,,,On-Air,2024-08-07
146.86500,146.26500,-,,,"Tyaskin - Muddy Hole",Wicomico,38.27960600,-75.85033610,N3HQJ,OPEN,On-Air,DMR,1,,,,,On-Air,2023-09-10
146.88000,146.28000,-,123.0,,"Midland - Dan's Mountain",Allegany,39.59009933,-78.94969940,W3YMW,OPEN,On-Air,Analog/analog,,,,,,On-Air,2020-08-23
146.88000,146.28000,-,77.0,77.0,"Greenbelt",Prince Georges,39.00460052,-76.87550354,W3GMR,OPEN,On-Air,Analog/analog,,,,,,On-Air,2024-06-05
146.89500,146.29500,-,CSQ,107.2,"Manchester",Carroll,39.71794400,-76.91455300,N3KZS,OPEN,On-Air,Analog/analog,,,7070,520690,,On-Air,2021-05-16
146.92500,146.32500,-,156.7,156.7,"Salisbury",Wicomico,38.36069870,-75.59940338,W3PRO,OPEN,On-Air,Analog/analog,,,,,,On-Air,2023-01-30
146.94000,146.34000,-,107.2,CSQ,"Centerville",Queen Annes,39.04180145,-76.06629944,KE3AO,OPEN,On-Air,Analog/analog,,,,,,On-Air,2023-01-30
146.94000,146.34000,-,100.0,100.0,"Clear Spring - Fairview Mountain",Washington,39.65530014,-77.96959686,W3CWC,OPEN,On-Air,YSF/analog,,,,,Wide area,On-Air,2022-06-13
146.95500,146.35500,-,CSQ,,"Rockville",Montgomery,39.05316000,-77.11666666,KV3B,OPEN,On-Air,Analog/analog,,,,,,On-Air,2021-06-07
146.95500,146.35500,-,CSQ,156.7,"Ocean Pines",Worcester,38.38790131,-75.14610291,NW2M,OPEN,On-Air,YSF/analog,,,,,,On-Air,2023-04-15
146.98500,146.38500,-,156.7,156.7,"Sunderland",Calvert,38.67422000,-76.59400000,K3CAL,OPEN,On-Air,YSF/analog,,,,,,On-Air,2023-01-30
147.00000,146.40000,-,156.7,,"Ashton",Montgomery,39.14469910,-76.98629761,KC3BXH,OPEN,On-Air,P25/analog,293,105440,,,,On-Air,2023-03-26
147.03000,147.63000,+,156.7,,"Towson",Baltimore,39.40284000,-76.60295000,WB3DZO,OPEN,Unknown,Analog/analog,,,,,,Unknown,2022-05-16
147.04500,147.64500,+,156.7,CSQ,"Trappe",Talbot,38.63029861,-76.05650330,K3EMD,OPEN,On-Air,Analog/analog,,,,,,On-Air,2023-01-30
147.06000,147.66000,+,146.2,146.2,"Frederick",Frederick,39.41429901,-77.41049957,K3MAD,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-04-02
147.07500,147.67500,+,107.2,107.2,"Crownsville",Anne Arundel,39.01022581,-76.60885768,W3VPR,OPEN,On-Air,Analog/analog,,677954,,,,On-Air,2024-03-15
147.09000,147.69000,+,100.0,100.0,"Pen Mar - High Rock",Washington,39.69589996,-77.51390076,W3CWC,OPEN,On-Air,YSF/analog,,,,,,On-Air,2021-05-20
147.10500,147.70500,+,107.2,CSQ,"Davidsonville",Anne Arundel,38.90299988,-76.65299988,W3VPR,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-10-26
147.12000,147.72000,+,114.8,114.8,"Bel Air",Harford,39.59500000,-76.32144300,KO3L,OPEN,On-Air,DMR/analog,1,,,,,On-Air,2020-08-19
147.13500,147.73500,+,156.7,156.7,"Columbia",Howard,39.24322080,-76.84426110,K3CUJ,OPEN,On-Air,YSF/analog,,,,,,On-Air,2024-04-21
147.15000,147.75000,+,114.8,114.8,"Brandywine",Prince Georges,38.70949936,-76.86219788,W3SMR,OPEN,On-Air,Analog/analog,,,,,,On-Air,2023-01-07
